<0, 1, 1000, lru, 10, zipf(1.2)>
<1007858755, 1, 1000, lru, 10, zipf(1.2)>
<648184409, 0, 1000, lru, 10, zipf(1.2)>
<804264185, 2, 1000, lru, 10, zipf(1.2)>
<797273135, 185, 1000, lru, 10, zipf(1.2)>
<315175079, 0, 1000, lru, 50, zipf(1.2)>
<0, 0, 1000, lru, 50, zipf(1.2)>
<9054374, 0, 1000, lru, 50, zipf(1.2)>
<1359705599, 0, 1000, lru, 50, zipf(1.2)>
<51766879, 0, 1000, lru, 50, zipf(1.2)>
<331328279, 23, 1000, lru, 200, zipf(1.2)>
<77578223, 44, 1000, lru, 200, zipf(1.2)>
<436458119, 61, 1000, lru, 200, zipf(1.2)>
<0, 123, 1000, lru, 200, zipf(1.2)>
<45516085, 193, 1000, lru, 200, zipf(1.2)>
<256632711, 0, 1000, fifo, 10, zipf(1.2)>
<0, 1, 1000, fifo, 10, zipf(1.2)>
<389489967, 2, 1000, fifo, 10, zipf(1.2)>
<164036123, 2, 1000, fifo, 10, zipf(1.2)>
<3669791, 211, 1000, fifo, 10, zipf(1.2)>
<258909311, 4, 1000, fifo, 50, zipf(1.2)>
<3895071399, 6, 1000, fifo, 50, zipf(1.2)>
<1845301039, 7, 1000, fifo, 50, zipf(1.2)>
<0, 6, 1000, fifo, 50, zipf(1.2)>
<148269359, 18, 1000, fifo, 50, zipf(1.2)>
<538988547, 61, 1000, fifo, 200, zipf(1.2)>
<1284013691, 64, 1000, fifo, 200, zipf(1.2)>
<1443601439, 64, 1000, fifo, 200, zipf(1.2)>
<0, 64, 1000, fifo, 200, zipf(1.2)>
<15331371, 129, 1000, fifo, 200, zipf(1.2)>
<0, 17, 1000, mru, 10, zipf(1.2)>
<0, 0, 1000, mru, 20, zipf(1.2)>
<1109563883, 0, 1000, mru, 20, zipf(1.2)>
<863408591, 0, 1000, mru, 20, zipf(1.2)>
<96190991, 0, 1000, mru, 20, zipf(1.2)>
<561977306, 0, 1000, mru, 20, zipf(1.2)>
<1047710195, 0, 1000, mru, 100, zipf(1.2)>
<0, 0, 1000, mru, 100, zipf(1.2)>
<1708129087, 0, 1000, mru, 100, zipf(1.2)>
<1243976839, 0, 1000, mru, 100, zipf(1.2)>
<163211219, 0, 1000, mru, 100, zipf(1.2)>
<612465663, 0, 1000, lru, 10, zipf(1.2)>
<0, 2, 1000, lru, 10, zipf(1.2)>
<1441609661, 2, 1000, lru, 10, zipf(1.2)>
<645360499, 3, 1000, lru, 10, zipf(1.2)>
<42467912, 146, 1000, lru, 10, zipf(1.2)>
<219013963, 0, 1000, lru, 10, zipf(1.2)>
<619985949, 0, 1000, lru, 10, zipf(1.2)>
<270028979, 0, 1000, lru, 10, zipf(1.2)>
<375481024, 0, 1000, lru, 10, zipf(1.2)>
<0, 0, 1000, lru, 20, zipf(1.2)>
<0, 0, 1000, lru, 50, zipf(1.2)>
<0, 0, 1000, lru, 10, zipf(1.2)>
<601815713, 0, 1000, lru, 10, zipf(1.2)>
<98928527, 0, 1000, lru, 10, zipf(1.2)>
<45729159, 0, 1000, lru, 10, zipf(1.2)>
<2753852135, 0, 1000, lru, 10, zipf(1.2)>
<0, 0.32, 1000, lru, 10, zipf(1.2)>
<236220503, 0.94, 1000, lru, 10, zipf(1.2)>
<443395364, 0.96, 1000, lru, 10, zipf(1.2)>
<1185559, 0.97, 1000, lru, 10, zipf(1.2)>
<454987679, 0.97, 1000, lru, 10, zipf(1.2)>
<0, 0.38, 1000, lru, 20, zipf(1.2)>
<113115779, 0.98, 1000, lru, 20, zipf(1.2)>
<684373598, 0.97, 1000, lru, 20, zipf(1.2)>
<61452559, 1.00, 1000, lru, 20, zipf(1.2)>
<44967631, 0.99, 1000, lru, 20, zipf(1.2)>
<0, 0.52, 1000, lru, 50, zipf(1.2)>
<932266313, 2.51, 1000, lru, 50, zipf(1.2)>
<348116099, 2.58, 1000, lru, 50, zipf(1.2)>
<544932387, 2.62, 1000, lru, 50, zipf(1.2)>
<2426295566, 0.61, 1000, lru, 100, zipf(1.2)>
<0, 0.84, 1000, lru, 100, zipf(1.2)>
<964385057, 0.97, 1000, lru, 100, zipf(1.2)>
<1310604395, 1.05, 1000, lru, 100, zipf(1.2)>
<351931610, 1.03, 1000, lru, 100, zipf(1.2)>
<0, 0.33, 1000, lru, 200, zipf(1.2)>
<592855157, 0.91, 1000, lru, 200, zipf(1.2)>
<53061267, 0.93, 1000, lru, 200, zipf(1.2)>
<7895551, 0.92, 1000, lru, 200, zipf(1.2)>

<0, 0.49, 1000, none, 10, zipf(1.2)>
<617662975, 0.96, 1000, none, 10, zipf(1.2)>
<1495635499, 1.02, 1000, none, 10, zipf(1.2)>
<9293153, 1.59, 1000, none, 10, zipf(1.2)>
<68338209, 1.64, 1000, none, 10, zipf(1.2)>
<2609832959, 0.69, 1000, fifo, 10, zipf(1.2)>
<0, 0.87, 1000, fifo, 10, zipf(1.2)>
<1237010111, 1.00, 1000, fifo, 10, zipf(1.2)>
<335670555, 1.09, 1000, fifo, 10, zipf(1.2)>
<198457007, 1.06, 1000, fifo, 10, zipf(1.2)>
<0, 0.28, 1000, fifo, 20, zipf(1.2)>
