<0, 0.51, 1000, lru, 10, uniform>
<0, 0.47, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.55, 1000, lru, 10, uniform>
<0, 0.55, 1000, lru, 10, uniform>
<0, 0.56, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.51, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.53, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.52, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.29, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.52, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.28, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.36, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.29, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.33, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.54, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.53, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.34, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.56, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.31, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
<0, 0.30, 1000, lru, 10, uniform>
