<95.03794871794868,  200,  none,  50,  uniform>, 3>
<105.98120000000006,  200,  none,  50,  uniform>, 5>
<240.01265641025665,  200,  none,  50,  uniform>, 10>
<294.48565128205166,  200,  none,  50,  uniform>, 20>
<341.3791682051283,  200,  none,  50,  uniform>, 50>
<394.6738184615377,  200,  none,  50,  uniform>, 100>
<412.9586593983428,  200,  none,  50,  uniform>, 200>
<406.1133149931225,  200,  none,  50,  uniform>, 500>
<95.24384615384625,  200,  lru,  50,  uniform>, 3>
<116.23968205128195,  200,  lru,  50,  uniform>, 5>
<126.21324102564105,  200,  lru,  50,  uniform>, 10>
<125.7820256410259,  200,  lru,  50,  uniform>, 20>
<138.27458871794866,  200,  lru,  50,  uniform>, 50>
<180.86484626890368,  200,  lru,  50,  uniform>, 100>
<178.93019341813084,  200,  lru,  50,  uniform>, 200>
<231.28108935128532,  200,  lru,  50,  uniform>, 500>
<95.51278632478635,  200,  fifo,  50,  uniform>, 3>
<126.27914871794876,  200,  fifo,  50,  uniform>, 5>
<124.71833333333335,  200,  fifo,  50,  uniform>, 10>
<176.1590007347537,  200,  fifo,  50,  uniform>, 20>
<138.55433641025692,  200,  fifo,  50,  uniform>, 50>
<157.14239641025642,  200,  fifo,  50,  uniform>, 100>
<180.91418170805576,  200,  fifo,  50,  uniform>, 200>
<566.7779365079364,  200,  fifo,  50,  uniform>, 500>
<135.34275213675207,  200,  none,  50,  zipf(1.2)>, 3>
<140.8619487179485,  200,  none,  50,  zipf(1.2)>, 5>
<198.85650769230745,  200,  none,  50,  zipf(1.2)>, 10>
<253.4444230769231,  200,  none,  50,  zipf(1.2)>, 20>
<331.745253333332,  200,  none,  50,  zipf(1.2)>, 50>
<534.5604007735391,  200,  none,  50,  zipf(1.2)>, 100>
<477.23093747693196,  200,  none,  50,  zipf(1.2)>, 200>
<427.12811170916757,  200,  none,  50,  zipf(1.2)>, 500>
<100.67670085470087,  200,  lru,  50,  zipf(1.2)>, 3>
<114.31015384615371,  200,  lru,  50,  zipf(1.2)>, 5>
<121.33544615384612,  200,  lru,  50,  zipf(1.2)>, 10>
<152.96281857451407,  200,  lru,  50,  zipf(1.2)>, 20>
<133.2287025641023,  200,  lru,  50,  zipf(1.2)>, 50>
<146.88066769230775,  200,  lru,  50,  zipf(1.2)>, 100>
<159.85737901099426,  200,  lru,  50,  zipf(1.2)>, 200>
<166.28818712186617,  200,  lru,  50,  zipf(1.2)>, 500>
<95.67082051282048,  200,  fifo,  50,  zipf(1.2)>, 3>
<117.78665641025641,  200,  fifo,  50,  zipf(1.2)>, 5>
<121.20858974358977,  200,  fifo,  50,  zipf(1.2)>, 10>
<126.13812564102591,  200,  fifo,  50,  zipf(1.2)>, 20>
<133.99828512820523,  200,  fifo,  50,  zipf(1.2)>, 50>
<153.56938955576177,  200,  fifo,  50,  zipf(1.2)>, 100>
<176.74977596741368,  200,  fifo,  50,  zipf(1.2)>, 200>
<157.92182167496304,  200,  fifo,  50,  zipf(1.2)>, 500>
